,click_status,AMP_timestamp,query_term,IP_address,user_agent,cost_per_click,conversions,country,city,devices,date,hour,query_term_list,len_query_term_list,ip_clicks_status
0,1,29/01/15 11:00,"[""michael kors"",""michael michael kors""]",2.118.171.21,"Mozilla/5.0 (iPad; CPU OS 8_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B410 Safari/600.1.4",0.28,0,Italy,Unknown,iPad,29/01/1,11,"['michael kors', 'michael michael kors']",2,0
1,1,29/01/15 11:00,"[""meet girls"",""dating girls""]",0.82.173.102,Mozilla/5.0 (Windows NT 5.1; rv:35.0) Gecko/20100101 Firefox/35.0,0.17,0,Unknown,Unknown,Windows,29/01/1,11,"['meet girls', 'dating girls']",2,1
2,1,29/01/15 11:00,"[""meet girls"",""dating girls""]",0.82.173.102,Mozilla/5.0 (Windows NT 5.1; rv:35.0) Gecko/20100101 Firefox/35.0,0.17,0,Unknown,Unknown,Windows,29/01/1,11,"['meet girls', 'dating girls']",2,1
3,1,29/01/15 11:00,"[""credit report"",""credit karma"",""free online credit report""]",219.32.49.92,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.94 Safari/537.36",0.9,0,Japan,Nagoya,Windows,29/01/1,11,"['credit report', 'credit karma', 'free online credit report']",3,0
4,1,29/01/15 11:00,"[""Byethost""]",13.54.12.142,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; InfoPath.3; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729; Zune 4.7),0.17,0,Australia,Sydney,compatible,29/01/1,11,['Byethost'],1,1
5,1,29/01/15 11:00,"[""online education games for kids"",""games for kids"",""free educational online games for kids""]",174.176.23.147,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0,0.26,0,United States,Unknown,Windows,29/01/1,11,"['online education games for kids', 'games for kids', 'free educational online games for kids']",3,0
6,1,29/01/15 11:00,"[""performance parts"",""auto body parts"",""racing parts""]",204.242.211.233,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E),0.17,0,United States,Unknown,compatible,29/01/1,11,"['performance parts', 'auto body parts', 'racing parts']",3,0
7,1,29/01/15 11:00,"[""game spot""]",83.19.224.156,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Chrome/36.0.1985.125 BoBrowser/36.0.1985.136 Safari/537.36",0.17,0,Poland,Kamienica,Windows,29/01/1,11,['game spot'],1,1
8,1,29/01/15 11:00,"[""pediatric job"",""F Craigslist"",""online job""]",174.123.58.83,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Win64; x64; Trident/4.0; GTB7.5; .NET CLR 2.0.50727; SLCC2; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; InfoPath.3),0.22,1,United States,Dallas,compatible,29/01/1,11,"['pediatric job', 'F Craigslist', 'online job']",3,0
9,1,29/01/15 11:00,"[""yahoo!"",""yahoo"",""yahoo my homepage""]",71.173.99.197,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0,0.17,0,United States,Unknown,X,29/01/1,11,"['yahoo!', 'yahoo', 'yahoo my homepage']",3,0
10,1,29/01/15 11:00,"[""black friday deals"",""promo code macy"",""macy online coupon""]",1.78.161.8,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",0.2,0,Japan,Sagamihara,Windows,29/01/1,11,"['black friday deals', 'promo code macy', 'macy online coupon']",3,0
11,1,29/01/15 11:00,"[""Cyworld""]",105.111.77.130,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2; BRI/2; .NET4.0C),0.17,0,Algeria,Unknown,compatible,29/01/1,11,['Cyworld'],1,0
12,1,29/01/15 11:00,"[""Gujjar""]",4.189.38.46,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",0.17,0,United States,Unknown,Windows,29/01/1,11,['Gujjar'],1,1
13,1,29/01/15 11:00,"[""Gujjar""]",4.189.38.46,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",0.17,0,United States,Unknown,Windows,29/01/1,11,['Gujjar'],1,1
