click_status,AMP_timestamp,Query Term ,IP Address,User Agent,Cost Per Click ,Conversions,country,city
1,29/01/15 11:00,"[""michael kors"",""michael michael kors""]",2.118.171.21,"Mozilla/5.0 (iPad; CPU OS 8_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B410 Safari/600.1.4",$ .28,0,Italy,Unknown
1,29/01/15 11:00,"[""meet girls"",""dating girls""]",0.82.173.102,Mozilla/5.0 (Windows NT 5.1; rv:35.0) Gecko/20100101 Firefox/35.0,$ .17,0,Unknown,Unknown
1,29/01/15 11:00,"[""meet girls"",""dating girls""]",0.82.173.102,Mozilla/5.0 (Windows NT 5.1; rv:35.0) Gecko/20100101 Firefox/35.0,$ .17,0,Unknown,Unknown
1,29/01/15 11:00,"[""credit report"",""credit karma"",""free online credit report""]",219.32.49.92,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.94 Safari/537.36",$ .90,0,Japan,Nagoya
1,29/01/15 11:00,"[""Byethost""]",13.54.12.142,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; InfoPath.3; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729; Zune 4.7),$ .17,0,Australia,Sydney
1,29/01/15 11:00,"[""online education games for kids"",""games for kids"",""free educational online games for kids""]",174.176.23.147,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0,$ .26,0,United States,Unknown
1,29/01/15 11:00,"[""performance parts"",""auto body parts"",""racing parts""]",204.242.211.233,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E),$ .17,0,United States,Unknown
1,29/01/15 11:00,"[""game spot""]",83.19.224.156,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Chrome/36.0.1985.125 BoBrowser/36.0.1985.136 Safari/537.36",$ .17,0,Poland,Kamienica
1,29/01/15 11:00,"[""pediatric job"",""F Craigslist"",""online job""]",174.123.58.83,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Win64; x64; Trident/4.0; GTB7.5; .NET CLR 2.0.50727; SLCC2; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; InfoPath.3),$ .22,1,United States,Dallas
1,29/01/15 11:00,"[""yahoo!"",""yahoo"",""yahoo my homepage""]",71.173.99.197,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:35.0) Gecko/20100101 Firefox/35.0,$ .17,0,United States,Unknown
1,29/01/15 11:00,"[""black friday deals"",""promo code macy"",""macy online coupon""]",1.78.161.8,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",$ .20,0,Japan,Sagamihara
1,29/01/15 11:00,"[""Cyworld""]",105.111.77.130,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2; BRI/2; .NET4.0C),$ .17,0,Algeria,Unknown
1,29/01/15 11:00,"[""Gujjar""]",4.189.38.46,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",$ .17,0,United States,Unknown
1,29/01/15 11:00,"[""Gujjar""]",4.189.38.46,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",$ .17,0,United States,Unknown
1,29/01/15 11:00,"[""To 3GP"",""Online Video Converter"",""video production""]",199.43.238.251,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; MASMJS; rv:11.0) like Gecko,$ .17,0,United States,New York
1,29/01/15 11:00,"[""Faisal""]",90.100.170.77,Mozilla/5.0 (Windows NT 6.1; rv:35.0) Gecko/20100101 Firefox/35.0,$ .17,0,France,Unknown
1,29/01/15 11:00,"[""Kick Ass Torrent""]",191.24.126.183,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",$ .17,0,Brazil,Goiania
1,29/01/15 11:01,"[""Faisal""]",90.100.170.77,Mozilla/5.0 (Windows NT 6.1; rv:35.0) Gecko/20100101 Firefox/35.0,$ .17,0,France,Unknown
1,29/01/15 11:01,"[""SAS ATT OSA SAT to""]",47.27.248.237,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",$ .17,0,United States,Englewood
1,29/01/15 11:01,"[""turbo tax""]",223.54.39.179,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0),$ 2.26,0,"Korea, Republic of",Unknown
1,29/01/15 11:01,"[""SAS ATT OSA SAT to""]",47.27.248.237,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",$ .17,0,United States,Englewood
31,29/01/15 11:01,"[""Byethost""]",189.205.193.241,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/7.0; .NET4.0E; .NET4.0C; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729; InfoPath.3),$ .17,0,Mexico,Mazatlán
